,toxic,severe_toxic,obscene,threat,insult,identity_hate,mean
THIS,0.04400987928939033,0.0,0.03235272096676842,0.0,0.02101700274816566,0.010046346278298045,0.017904324880437077
EDITS,0.10332856857780785,0.0,0.04474640126089541,0.04474640126089541,0.04474640126089541,0.0,0.039594628726749015
PART,0.0,0.0,0.0,0.0,0.038937449429215544,0.0,0.006489574904869257
TRYING,0.19047616780045623,0.0,0.07526880911088075,0.0,0.0,0.0,0.04429082948522283
OTHER,0.16463399439325516,0.01854389228671088,0.16463399439325516,0.0,0.11089240885645697,0.01854389228671088,0.0795413637027315
CONTRIBUTION,0.5999999040000155,0.0,0.16515733592606066,0.0,0.0,0.0,0.12752620665434602
AGAIN,0.0884470127632067,0.0,0.0,0.038937449429215544,0.0,0.0,0.02123074369873704
COME,0.0714372756041061,0.0,0.03206106539339234,0.0,0.0,0.0,0.017249723499583074
MORE,0.08793927367260715,0.0,0.06365982468080714,0.018920227689945397,0.06365982468080714,0.0406314245723455,0.04580176254941872
PROBLEM,0.10950197737008255,0.0,0.047101444343363254,0.0,0.047101444343363254,0.0,0.033950811009468174
BACK,0.20967739399063784,0.0,0.052672658974094226,0.052672658974094226,0.052672658974094226,0.0,0.06128256181882009
GUYS,0.16515733592606066,0.0,0.16515733592606066,0.0,0.0,0.0,0.05505244530868689
SOME,0.07296788989078572,0.0,0.03408351570399883,0.0,0.01600468551891849,0.01600468551891849,0.02317679610543692
THATS,0.2138846192910552,0.0,0.0,0.0,0.0,0.0,0.0356474365485092
CRAP,0.0,0.0,0.0,0.0,10000000.0,0.0,1666666.6666666667
YOUVE,0,0,0,0,0,0,0.0
WIKIPEDIA,0.08230356200332752,0.0,0.03818256077117867,0.0,0.03818256077117867,0.0,0.026444780590947476
COCK,1.0388680651373636,0.2138846192910552,1.0388680651373636,0.0,0.2138846192910552,0.0,0.4175842281428063
BAND,0.2138846192910552,0.0,0.2138846192910552,0.0,0.0,0.0,0.0712948730970184
YOURE,0,0,0,0,0,0,0.0
LIFE,0.15688540761372055,0.0,0.15688540761372055,0.0,0.0,0.0,0.052295135871240184
SHOWINGS,10000000.0,0.0,0.0,0.0,0.0,0.0,1666666.6666666667
GOING,0.20967739399063784,0.0,0.052672658974094226,0.0,0.0,0.0,0.04372500882745534
DOWN,0.3907335910504407,0.0,0.0824763053873514,0.0,0.0,0.0,0.07886831607296535
MOTHER,2.5714276530615536,0.13636362086777037,2.5714276530615536,0.0,1.008114227669984,0.0,1.0478888591101436
FROM,0.018920227689945397,0.0,0.018920227689945397,0.0,0.0,0.0,0.006306742563315132
WOULD,0.04780763040500787,0.0,0.02206448584044506,0.0,0.04780763040500787,0.02206448584044506,0.023290705415150978
FUCK,10000000.0,0.0824763053873514,10000000.0,0.0,2.7255659254473645,0.2136348038250799,3333333.836946172
REVERT,0.052672658974094226,0.0,0.052672658974094226,0.0,0.052672658974094226,0.0,0.026336329487047113
WHAT,0.1398392973922644,0.0,0.04904862584199618,0.0,0.04904862584199618,0.0,0.039656091512709456
THEY,0.02900861548441642,0.0,0.0,0.0,0.0,0.0,0.004834769247402737
RIGHT,0.11494739727995301,0.0,0.0714372756041061,0.0,0.0,0.0,0.031064112147343188
ABOVE,0.0824763053873514,0.0,0.0,0.0,0.0824763053873514,0.0,0.0274921017957838
HURT,1.0388680651373636,0.0,0.2138846192910552,0.0,0.0,0.0,0.20879211407140316
DICK,1.0388680651373636,0.0,0.2138846192910552,0.0,0.0,0.0,0.20879211407140316
BEEN,0.02995790921435173,0.0,0.0,0.0,0.02995790921435173,0.0,0.009985969738117243
SUCKING,10000000.0,0.0,10000000.0,0.0,0.0,0.0,3333333.3333333335
SAID,0.1336099146704784,0.0,0.05600289191486815,0.0,0.05600289191486815,0.05600289191486815,0.05026976506918048
PLAY,0.28399041180894713,0.0,0.1023748479884156,0.0,0.1023748479884156,0.0,0.08145668463096306
BURN,10000000.0,0.0,10000000.0,0.33333328888889485,10000000.0,0.33333328888889485,5000000.111111096
WRITE,0.30249004897486614,0.0,0.1719963487328771,0.0,0.1719963487328771,0.06926090269508133,0.11929060818928362
ARTIE,10000000.0,0.0,0.0,0.0,0.0,0.0,1666666.6666666667
DELETING,1.0388680651373636,0.2138846192910552,1.0388680651373636,0.0,0.2138846192910552,0.0,0.4175842281428063
AUTHENTICITY,10000000.0,0.0,0.0,0.0,0.0,0.0,1666666.6666666667
LOOK,0.11982274459563397,0.0,0.0,0.0,0.0,0.0,0.01997045743260566
DREAMS,0.33333328888889485,0.0,0.33333328888889485,0.0,0.0,0.0,0.11111109629629828
TONIGHT,1.0388680651373636,0.0,0.2138846192910552,0.0,0.0,0.0,0.20879211407140316
MAKE,0.11045900438392615,0.0,0.06880357397786342,0.0,0.06880357397786342,0.03097300042014056,0.04650652545996559
NAZI,1.0388680651373636,0.0,1.0388680651373636,0.0,1.0388680651373636,1.0388680651373636,0.6925787100915758
THINK,0.1532152726883561,0.0,0.08426465099401019,0.024392281426468033,0.08426465099401019,0.024392281426468033,0.061754856254885436
WONT,0,0,0,0,0,0,0.0
HELL,0.19047616780045623,0.07526880911088075,0.19047616780045623,0.07526880911088075,0.19047616780045623,0.07526880911088075,0.13287248845566849
COULD,0.038937449429215544,0.0,0.038937449429215544,0.0,0.0,0.0,0.012979149809738515
